"","pctyes","year","leaid","stabbr","votesharereqd","margin","passbond","holdbond","cap_exp","l1cap_exp","l2cap_exp","f1cap_exp","f2cap_exp","f3cap_exp","f4cap_exp","f5cap_exp","f6cap_exp","noncap_exp","l1noncap_exp","l2noncap_exp","f1noncap_exp","f2noncap_exp","f3noncap_exp","f4noncap_exp","f5noncap_exp","f6noncap_exp","l1passbond","l2passbond","f1passbond","f2passbond","f3passbond","f4passbond","f5passbond","f6passbond","l1holdbond","l2holdbond","f1holdbond","f2holdbond","f3holdbond","f4holdbond","f5holdbond","f6holdbond"
"953",0.559862652175147,2016,626640,"CA",0.550000011920929,0.0098626399,1,1,713.17456,1049.9834,479.03152,997.10199,NA,NA,NA,NA,NA,12158.177,10958.882,10201.465,12853.814,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"957",0.534930139720559,2006,626760,"CA",0.550000011920929,-0.015069872,0,1,3053.4287,463.73483,1347.5039,1368.7394,411.69571,1762.5172,NA,4571.7378,7017.3071,12716.952,12227.663,12647.042,12409.476,15029.084,14820.055,NA,12068.854,12949.186,0,0,0,1,0,NA,0,0,0,0,0,1,0,NA,0,0
"958",0.593898951382269,2008,626760,"CA",0.550000011920929,0.04389894,1,1,411.69571,1368.7394,3053.4287,1762.5172,NA,4571.7378,7017.3071,3563.144,3689.6326,15029.084,12409.476,12716.952,14820.055,NA,12068.854,12949.186,12421.055,12721.627,0,0,0,NA,0,0,0,0,0,1,0,NA,0,0,0,0
"959",0.614027860994608,2002,626880,"CA",0.550000011920929,0.064027846,1,1,1573.5859,1870.8369,605.41223,1450.739,1927.9545,1942.2269,2956.0688,1005.4935,1118.0774,10203.547,9924.4375,8911.3174,10648.959,9740.1445,10307.067,10470.482,11548.687,11094.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960",0.560353820742415,2016,626880,"CA",0.550000011920929,0.010353809,1,1,190.91234,315.12802,166.19379,403.02545,NA,NA,NA,NA,NA,12478.989,11304.679,10753.556,13185.479,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"961",0.708366533864542,1996,626910,"CA",0.666666984558105,0.041699551,1,1,1834.4866,982.73486,NA,1916.3978,2364.46,3221.4399,3759.4009,3189.0938,1546.3649,8543.8779,8333.3223,NA,8574.7412,9582.0781,8783.9961,9394.8945,10219.673,10835.963,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"962",0.683927611539151,2003,626910,"CA",0.666666984558105,0.017260628,1,1,227.41811,1546.3649,3189.0938,611.80811,2612.8506,2039.8481,1134.5829,2095.9192,3152.1003,10754.263,10835.963,10219.673,10151.582,10856.439,11942.648,11587.266,11692.536,11663.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"963",0.687059184299295,2014,626910,"CA",0.550000011920929,0.13705917,1,1,157.76692,172.81396,170.53636,126.41908,530.72205,1509.483,NA,NA,NA,10684.203,9574.0645,10225.329,11612.607,12349.945,13717.11,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"965",0.559033684926846,2011,627060,"CA",0.550000011920929,0.0090336734,1,1,68.656418,103.2338,503.90106,27.228899,312.61743,1026.8019,2187.071,2495.5364,2527.2627,10073.442,10753.407,11061.503,9888.8857,10688.589,11095.818,12160.526,13345.578,13608.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"966",0.673179396092362,1999,627180,"CA",0.666666984558105,0.0065124114,1,1,423.96567,464.07956,359.95035,695.98535,2390.5193,1477.4425,5959.4038,3180.9153,6040.4126,7366.2427,7569.4922,7148.1973,8218.8838,8656.8916,8570.9971,8675.7754,8968.3604,8994.918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"967",0.66702663786897,2011,627180,"CA",0.550000011920929,0.11702663,1,1,121.74082,161.44342,233.43419,176.57918,544.46954,1840.5464,2396.6965,3337.2056,2064.2051,8671.3262,9089.4492,9254.2891,8844.0117,8667.0146,9049.7754,9419.9102,10317.705,10614.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"968",0.72436974789916,2000,627200,"CA",0.666666984558105,0.057702765,1,1,500.78864,524.50891,920.77545,1042.8251,5687.5581,2677.8127,1363.1207,5431.6401,5174.0718,7782.2417,7583.3647,7774.2744,8310.9229,9518.9121,10288.663,10500.178,9852.6289,10069.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"969",0.49375,2005,627200,"CA",0.550000011920929,-0.056250013,0,1,5431.6401,1363.1207,2677.8127,5174.0718,754.65906,1171.9868,712.95935,936.73743,4309.1045,9852.6289,10500.178,10288.663,10069.287,9446.752,10930.473,10500.431,9924.9053,10024.024,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"970",0.641618497109827,2008,627200,"CA",0.550000011920929,0.091618486,1,1,1171.9868,754.65906,5174.0718,712.95935,936.73743,4309.1045,840.0639,129.77342,447.70978,10930.473,9446.752,10069.287,10500.431,9924.9053,10024.024,10307.521,9399.9082,9771.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"972",0.72143684820394,2000,627240,"CA",0.666666984558105,0.054769862,1,1,946.31281,853.50824,885.76422,617.68982,626.70532,985.21771,3047.5627,3549.5613,3075.4351,9701.1758,9026.1924,8446.249,9974.9189,10690.405,11323.451,11158.956,11889.83,12202.551,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"973",0.56149514229215,2005,627240,"CA",0.550000011920929,0.01149513,1,1,3549.5613,3047.5627,985.21771,3075.4351,1885.5751,1838.5618,2232.7468,1123.7112,507.61142,11889.83,11158.956,11323.451,12202.551,13209.191,13816.297,14073.19,13712.282,12964.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974",0.771929824561403,1999,627300,"CA",0.666666984558105,0.10526284,1,1,991.70294,814.75159,449.35443,7081.7153,29864.898,80620.672,7752.9819,745.24274,118.69563,10451.023,10567.808,9412.793,14078.789,16480.629,23357.93,16748.279,15518.584,14203.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"975",0.551050228310502,2012,627450,"CA",0.550000011920929,0.0010502164,1,1,95.71756,141.07736,82.408463,629.33502,1157.283,3758.4072,2723.2827,1488.7539,NA,8112.8887,8584.0869,8824.7119,7395.6816,8305.0439,9034.9873,9361.5801,9518.3174,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"976",0.551807228915663,2006,627480,"CA",0.550000011920929,0.001807217,1,1,6293.501,1101.2439,114.76923,1522.3391,5312.1216,1328.2008,58.898468,0,19.708879,9153.9766,9539.1855,10003.182,10446.472,10287.928,9276.125,8600.7686,8157.2031,8268.6328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"977",0.664890783164624,2000,627590,"CA",0.666666984558105,-0.0017762014,0,1,772.13068,533.86328,533.28125,928.40259,371.65958,318.16202,1198.1509,1744.3608,3752.019,9210.3027,8838.4033,8867.4951,10735.951,10300.619,9854.5225,8869.9707,10689.748,10922.338,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"978",0.683978441940225,2002,627590,"CA",0.550000011920929,0.13397843,1,1,371.65958,928.40259,772.13068,318.16202,1198.1509,1744.3608,3752.019,662.42474,268.57147,10300.619,10735.951,9210.3027,9854.5225,8869.9707,10689.748,10922.338,11986.47,12228.275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"979",0.610350833540682,2013,627590,"CA",0.550000011920929,0.06035082,1,1,861.78784,1410.7532,744.74622,123.81045,473.6615,1262.6415,2271.8528,NA,NA,11492.137,10950.831,11233.839,11042.959,11572.007,13208.54,13675.15,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,1,NA,NA
"980",0.45088161209068,2017,627590,"CA",0.550000011920929,-0.099118397,0,1,2271.8528,1262.6415,473.6615,NA,NA,NA,NA,NA,NA,13675.15,13208.54,11572.007,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"981",0.676725521669342,1997,627600,"CA",0.666666984558105,0.010058537,1,1,951.78198,153.58791,125.09494,1635.9318,1873.5468,2172.7241,1339.7081,1514.8434,1505.4764,8153.6826,7607.1958,8043.605,8881.9268,9523.5098,9921.7188,10872.046,11646.227,11549.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"982",0.692941499588025,2006,627600,"CA",0.550000011920929,0.14294149,1,1,620.38538,1029.106,942.59528,1691.1062,3326.3906,NA,NA,NA,NA,12452.656,11837.053,11845.024,12428.229,12756.057,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"984",0.573886249839517,2014,627690,"CA",0.550000011920929,0.023886237,1,1,671.1416,360.69669,289.07916,1046.2125,851.67926,885.00238,NA,NA,NA,12145.491,11573.623,11533.814,11707.472,12821.854,13287.866,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"985",0.527031546092966,1999,627720,"CA",0.666666984558105,-0.13963544,0,1,562.62622,482.21298,441.96371,726.742,716.5224,1532.6949,1644.4541,1882.8712,3188.6379,8385.8389,8407.7061,8014.4727,8840.7959,9455.5596,9793.9668,9760.3115,9411.2246,9367.5566,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"986",0.615964296166228,2001,627720,"CA",0.5,0.11596429,1,1,716.5224,726.742,562.62622,1532.6949,1644.4541,1882.8712,3188.6379,4175.0229,3763.9324,9455.5596,8840.7959,8385.8389,9793.9668,9760.3115,9411.2246,9367.5566,9768.084,10260.599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"987",0.579763442997714,2016,627720,"CA",0.550000011920929,0.02976343,1,1,808.14929,862.45178,951.74158,481.87708,NA,NA,NA,NA,NA,11645.854,11111.365,9902.1025,12416.459,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"988",0.635916359163592,2002,627780,"CA",0.666666984558105,-0.030750625,0,1,16089.938,2017.1088,525.89929,2036.339,732.57782,1157.5714,804.43445,818.91455,630.87677,10132.358,9340.8359,8363.7988,10266.028,10304.273,10599.678,10757.748,11089.201,11671.813,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"989",0.556379821958457,2003,627780,"CA",0.666666984558105,-0.11028716,0,1,2036.339,16089.938,2017.1088,732.57782,1157.5714,804.43445,818.91455,630.87677,1453.9459,10266.028,10132.358,9340.8359,10304.273,10599.678,10757.748,11089.201,11671.813,11902.155,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"990",0.56391659111514,2006,627780,"CA",0.550000011920929,0.013916579,1,1,804.43445,1157.5714,732.57782,818.91455,630.87677,1453.9459,881.14789,302.45734,72.234795,10757.748,10599.678,10304.273,11089.201,11671.813,11902.155,11146.981,10704.405,8872.915,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"991",0.646080760095012,2012,627780,"CA",0.550000011920929,0.09608075,1,1,72.234795,302.45734,881.14789,46.609653,1337.5929,636.44977,384.77856,223.09164,NA,8872.915,10704.405,11146.981,8926.9258,7673.7412,9502.6973,9307.0879,8893.9199,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"993",0.655487498744854,2014,627810,"CA",0.550000011920929,0.10548749,1,1,388.98053,2238.946,1643.1693,704.69269,2316.196,3907.5454,NA,NA,NA,9939.9463,9724.8818,9642.1963,11160.932,12433.396,13231.398,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"994",0.626188734455011,2014,627840,"CA",0.550000011920929,0.076188721,1,1,43.994541,265.26355,2359.4031,88.638756,129.19533,389.92426,NA,NA,NA,9041.415,9798.7871,9610.251,10950.21,10202.426,10284.022,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"995",0.600947306098283,2006,627850,"CA",0.550000011920929,0.050947294,1,1,174.11905,627.66797,334.32733,41.953983,878.69598,394.77631,1370.0491,1167.7839,1500.9049,9740.5234,9800.2041,9671.3027,10157.452,10866.011,10768.363,10459.262,9515.7842,9479.4414,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"996",0.570073307460112,2008,627850,"CA",0.550000011920929,0.020073295,1,1,878.69598,41.953983,174.11905,394.77631,1370.0491,1167.7839,1500.9049,1024.4775,1405.2512,10866.011,10157.452,9740.5234,10768.363,10459.262,9515.7842,9479.4414,8906.7129,8958.0723,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"997",0.635054192812322,2016,627850,"CA",0.550000011920929,0.085054182,1,1,750.43866,1979.6396,1405.2512,2120.6934,NA,NA,NA,NA,NA,11018.349,10020.43,8958.0723,11082.845,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"998",0.648809523809524,1999,627930,"CA",0.666666984558105,-0.01785746,0,1,1196.0483,2699.5879,576.53021,881.75195,3638.4065,1316.3621,940.79913,2431.2568,1478.0829,7325.7964,6503.5518,6604.8105,7513.0723,8243.8174,9002.083,9027.752,8879.8594,9650.3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"999",0.669014084507042,2008,627930,"CA",0.550000011920929,0.11901407,1,1,87.606056,515.28278,222.90559,891.85223,433.67313,6340.7168,3781.2209,475.1203,288.2562,9431.2451,8823.4209,9904.4385,9139.9688,8025.769,8503.8262,8326.9063,8164.9287,8237.7803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000",0.642206198512205,1995,627960,"CA",0.666666984558105,-0.024460787,0,1,572.75165,NA,NA,343.07339,582.40906,374.87582,NA,NA,NA,8941.0508,NA,NA,8633.1309,8103.3945,9999.0918,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
"1004",0.791666666666667,1998,628080,"CA",0.666666984558105,0.12499968,1,1,618.00946,748.51721,277.77664,1098.8226,3236.7847,3878.7783,1092.4229,477.67059,683.27191,7595.1108,7030.2681,6864.75,7759.3608,8046.3481,8873.0635,9747.252,9482.8242,9160.2656,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1005",0.690657439446367,2004,628080,"CA",0.550000011920929,0.14065742,1,1,683.27191,477.67059,1092.4229,1021.069,2175.1653,7701.7207,6611.5659,760.41895,526.42554,9160.2656,9482.8242,9747.252,8977.4688,9442.585,9916.6738,9650.0605,9748.8154,8804.1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1006",0.647568013190437,2016,628080,"CA",0.550000011920929,0.097567998,1,1,727.45929,336.14197,518.05048,412.15643,NA,NA,NA,NA,NA,10641.495,9545.4277,8501.0898,11485.818,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"1007",0.559759538059957,2012,628140,"CA",0.550000011920929,0.0097595258,1,1,55.451923,73.637566,145.91914,279.81903,447.75369,3103.2109,2371.5466,863.12103,NA,9831.7334,9669.832,9962.8604,9305.5361,9430.7383,10437.397,11504.423,11888.05,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,0,NA
"1008",0.589322381930185,2016,628140,"CA",0.550000011920929,0.039322369,1,1,2371.5466,3103.2109,447.75369,863.12103,NA,NA,NA,NA,NA,11504.423,10437.397,9430.7383,11888.05,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"1010",0.559759538059957,2012,628170,"CA",0.550000011920929,0.0097595258,1,1,1518.0342,686.4386,171.34518,924.36017,579.49902,31.014887,755.07025,18.330782,NA,10383.022,10880.097,10991.563,10847.269,11045.467,10930.532,12424.802,12703.231,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"1011",0.69565973732278,2000,628250,"CA",0.666666984558105,0.028992753,1,1,672.38232,648.40875,1076.9406,981.23242,2228.6011,1422.2725,1271.9965,1793.2454,2359.1052,8277.5938,7892.6108,7849.8281,9737.1035,10972.443,10751.905,9828.25,10600.007,10097.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1012",0.721596032461677,1997,628270,"CA",0.666666984558105,0.054929048,1,1,402.54678,162.84404,67.415367,444.6763,1143.8153,1146.9913,1249.3518,1262.3027,1918.1029,7425.2339,6973.6265,6999.3257,7532.5811,8033.1172,8819.5117,9172.4346,9874.4463,9733.1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1013",0.682299150881777,2014,628270,"CA",0.550000011920929,0.13229914,1,1,93.968605,63.274075,70.428192,51.1926,13.780593,181.69592,NA,NA,NA,9758.5801,9490.3438,9475.6533,10369.928,11303.328,12468.987,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"1014",0.723293041489709,1995,628320,"CA",0.666666984558105,0.056626055,1,1,127.68142,NA,NA,323.5318,5051.5649,3227.262,1127.0165,1951.4319,1405.0448,6787.2749,NA,NA,6999.7222,7517.9673,8713.1143,8754.0195,9478.2861,10218.508,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
"1015",0.568101859607975,2012,628320,"CA",0.550000011920929,0.018101847,1,1,215.13423,152.3243,100.17603,786.06891,6480.5981,2762.0007,2057.9766,2694.4641,NA,9715.6973,9511.2881,10240.661,10245.775,11390.301,12273.203,12788.974,13424.771,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
"1016",0.566738197424893,2000,628470,"CA",0.666666984558105,-0.099928789,0,1,826.31543,765.35577,1361.9702,657.37482,240.78973,246.96437,508.168,574.92792,476.21036,8536.0615,8143.6685,8039.5962,9636.6885,10421.087,10293.252,9827.7168,9990.791,9937.2305,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1017",0.673160427179908,2002,628470,"CA",0.550000011920929,0.12316041,1,1,240.78973,657.37482,826.31543,246.96437,508.168,574.92792,476.21036,2893.8743,2060.9419,10421.087,9636.6885,8536.0615,10293.252,9827.7168,9990.791,9937.2305,11094.636,10692.371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1019",0.488996074032529,2004,628650,"CA",0.550000011920929,-0.061003938,0,1,186.96895,345.77933,511.85413,245.33495,200.19954,208.93227,684.86572,963.37274,472.47156,9538.8115,10250.035,9630.2646,9926.3213,9479.8945,10278.602,10160.75,10029.092,9254.7344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1020",0.545993067955047,2014,628650,"CA",0.550000011920929,-0.0040069441,0,1,314.30658,444.25516,380.86807,114.61509,253.57098,912.10004,NA,NA,NA,8827.9619,8821.459,8516.7656,10036.608,11129.253,11944.381,NA,NA,NA,0,0,0,1,0,NA,NA,NA,0,0,0,1,0,NA,NA,NA
"1021",0.62465244528537,2016,628650,"CA",0.550000011920929,0.074652433,1,1,253.57098,114.61509,314.30658,912.10004,NA,NA,NA,NA,NA,11129.253,10036.608,8827.9619,11944.381,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA
"1022",0.767990788716177,2000,628680,"CA",0.666666984558105,0.10132381,1,1,5691.228,3526.936,24434.291,4647.0034,5493.4673,3.5083969,302.73306,60.006351,1526.6442,12814.898,12736.033,10814.564,15742.686,16065.168,14870.34,11633.599,11427.68,11300.449,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"1024",0.715117854240043,1999,628710,"CA",0.666666984558105,0.048450869,1,1,329.72162,808.62067,588.31281,987.27582,2117.5474,3245.8796,2641.8953,529.79657,367.98837,7643.4888,8036.5435,7454.1445,8128.4478,8838.7988,9264.1445,9013.3438,8770.3779,9153.7822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1025",0.577568653348743,2016,628710,"CA",0.550000011920929,0.027568642,1,1,289.44257,604.82825,289.90411,181.98947,NA,NA,NA,NA,NA,10566.787,9405.3867,8812.7471,10867.087,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"1026",0.709345553781989,1995,628860,"CA",0.666666984558105,0.042678569,1,1,115.24246,NA,NA,815.67505,5575.4253,3516.5122,2954.9509,1981.9662,436.5058,7953.2256,NA,NA,8332.6807,8820.9453,9732.4766,9840.8711,9745.5498,10186.717,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
"1027",0.658607753230513,1999,629100,"CA",0.666666984558105,-0.0080592316,0,1,201.58698,480.84091,260.35342,290.94302,837.02777,944.49731,190.05986,167.85301,1763.4517,8614.8789,8169.0967,7486.6548,8454.3838,9327.9629,10051.853,10348.677,9801.7666,10228.695,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"1028",0.55119825708061,2000,629100,"CA",0.666666984558105,-0.11546873,0,1,290.94302,201.58698,480.84091,837.02777,944.49731,190.05986,167.85301,1763.4517,1971.4752,8454.3838,8614.8789,8169.0967,9327.9629,10051.853,10348.677,9801.7666,10228.695,11096.685,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
"1029",0.630166112956811,2002,629100,"CA",0.550000011920929,0.080166101,1,1,944.49731,837.02777,290.94302,190.05986,167.85301,1763.4517,1971.4752,416.66403,866.97235,10051.853,9327.9629,8454.3838,10348.677,9801.7666,10228.695,11096.685,11407.552,11073.449,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1030",0.454652730950776,2006,629100,"CA",0.550000011920929,-0.095347278,0,1,1971.4752,1763.4517,167.85301,416.66403,866.97235,1.2930436,4.4033689,21.094189,17.751339,11096.685,10228.695,9801.7666,11407.552,11073.449,10993.457,10787.813,10152.331,10120.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1031",0.550632911392405,2000,629130,"CA",0.666666984558105,-0.11603408,0,1,883.46942,670.32977,663.46332,1470.4169,742.98187,674.11084,2316.9509,2087.4392,4430.5479,9315.9717,8905.0039,9002.6299,10047.597,11343.967,10830.842,10468.489,10934.289,11323.071,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"1032",0.598382986202654,2002,629130,"CA",0.550000011920929,0.048382975,1,1,742.98187,1470.4169,883.46942,674.11084,2316.9509,2087.4392,4430.5479,5859.0132,3654.908,11343.967,10047.597,9315.9717,10830.842,10468.489,10934.289,11323.071,11457.689,11683.858,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"1033",0.591742130228547,2008,629130,"CA",0.550000011920929,0.04174212,1,1,3654.908,5859.0132,4430.5479,1971.7314,2863.0527,2631.9216,317.83963,523.20178,161.71645,11683.858,11457.689,11323.071,11978.279,10854.639,10745.17,10950.199,11687.391,11767.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1034",0.563218390804598,2005,629190,"CA",0.550000011920929,0.013218379,1,1,406.81653,235.2067,261.64316,1151.9761,32277.777,18064.975,6414.2578,6666.3809,11721.549,22611.123,22070.229,23226.777,26021.105,28063.734,25420.865,35198.742,44809.906,49200.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1035",0.662265030293615,1997,629220,"CA",0.666666984558105,-0.0044019544,0,1,1456.4142,615.83887,466.61942,896.2663,559.11475,1443.8507,1280.7306,1144.7866,1001.1329,8202.4883,7854.4111,8044.8354,8699.5869,8822.1387,8747.4063,9673.709,10355.08,10703.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1036",0.644643675818858,2006,629220,"CA",0.550000011920929,0.094643667,1,1,1830.8984,2452.4666,692.02655,882.81177,2421.9124,2729.7202,879.72076,552.5545,469.14301,10751.03,10468.855,10467.174,11308.516,11311.896,11336.66,11143.763,10741.422,10042.561,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1037",0.663873927787752,2012,629220,"CA",0.550000011920929,0.11387391,1,1,469.14301,552.5545,879.72076,2094.2175,1274.4122,1476.5468,938.42816,1472.7207,NA,10042.561,10741.422,11143.763,9654.3945,10306.081,11892.776,12965.331,14059.102,NA,0,0,0,0,0,1,0,NA,0,0,0,0,0,1,0,NA
"1038",0.699415673693859,2016,629220,"CA",0.550000011920929,0.14941566,1,1,938.42816,1476.5468,1274.4122,1472.7207,NA,NA,NA,NA,NA,12965.331,11892.776,10306.081,14059.102,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"1039",0.679590674860955,1996,629270,"CA",0.666666984558105,0.01292369,1,1,383.82483,1752.3616,NA,663.75958,881.65692,922.50726,2853.8325,2852.1077,878.39819,8216.0557,8346.0137,NA,8508.8662,8856.4893,8837.7578,9236.877,9584.8213,10652.966,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"1040",0.626761064465633,2004,629270,"CA",0.550000011920929,0.076761052,1,1,1967.4285,1109.7217,878.39819,1923.8311,795.49866,456.68674,215.54259,163.01767,208.18724,10014.932,10058.53,10652.966,10550.398,10612.789,10747.225,10637.509,10716.059,10171.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1041",0.55716798592788,2008,629280,"CA",0.550000011920929,0.007167974,1,1,5375.7427,770.50171,52.43034,1214.3573,1064.8507,1417.5132,1027.7086,183.67696,1388.5437,10977.125,11685.943,9668.1543,11601.518,10133.196,9907.1836,9913.0186,8583.4414,9431.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1043",0.77669508729192,1999,629370,"CA",0.666666984558105,0.1100281,1,1,300.42108,243.74805,344.31406,338.01688,937.94519,4556.7861,2915.9954,2276.5442,2142.7244,10755.635,10317.507,10089.251,11424.415,12363.636,14483.526,14361.421,14871.341,16386.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1044",0.655961538461538,2006,629370,"CA",0.550000011920929,0.10596152,1,1,1010.0822,2142.7244,2276.5442,351.46912,2603.7407,8349.4697,4214.6172,7406.7344,1959.6429,16703.98,16386.188,14871.341,18475.082,18444.1,19597.238,18833.506,17384.268,16658.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1045",0.521674967718133,2013,629370,"CA",0.550000011920929,-0.028325044,0,1,1282.1072,1959.6429,7406.7344,2175.3496,637.32507,981.59772,731.83618,NA,NA,16140.736,16658.689,17384.268,16091.691,16587.635,17113.361,18113.578,NA,NA,0,0,1,0,0,0,NA,NA,0,0,1,0,0,0,NA,NA
"1046",0.597858417608566,2014,629370,"CA",0.550000011920929,0.047858406,1,1,2175.3496,1282.1072,1959.6429,637.32507,981.59772,731.83618,NA,NA,NA,16091.691,16140.736,16658.689,16587.635,17113.361,18113.578,NA,NA,NA,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,NA,NA,NA
"1047",0.799769850402762,1999,629430,"CA",0.666666984558105,0.13310286,1,1,433.4794,334.65964,3213.9382,514.10114,185.49626,39.260319,323.85202,283.74142,17.288275,6742.4331,6529.5815,5617.5352,6764.8789,6944.2192,7523.2593,8152.8462,9408.2686,9476.8564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1048",0.609588299024919,1998,629490,"CA",0.666666984558105,-0.057078686,0,1,911.27948,842.26526,1059.208,1535.6938,1748.8402,1870.0132,812.2002,1318.776,2260.1733,8673.6025,8447.0977,8405.3936,8660.7949,9719.7627,10617.836,11535.725,11700.676,11292.025,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
