"","pctyes","year","leaid","stabbr","votesharereqd","margin","passbond","holdbond","cap_exp","l1cap_exp","l2cap_exp","f1cap_exp","f2cap_exp","f3cap_exp","f4cap_exp","f5cap_exp","f6cap_exp","noncap_exp","l1noncap_exp","l2noncap_exp","f1noncap_exp","f2noncap_exp","f3noncap_exp","f4noncap_exp","f5noncap_exp","f6noncap_exp","l1passbond","l2passbond","f1passbond","f2passbond","f3passbond","f4passbond","f5passbond","f6passbond","l1holdbond","l2holdbond","f1holdbond","f2holdbond","f3holdbond","f4holdbond","f5holdbond","f6holdbond"
"7130",0.604967772960663,2000,5503180,"WI",0.5,0.10496777,1,1,444.49591,1523.9124,1902.4763,9499.9473,4512.9556,1270.2855,757.33258,253.57924,227.60454,11947.76,12545.579,12150.427,12557.727,13216.08,13194.099,13135.147,12979.394,13200.273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"7132",0.46835058927536,1995,5503210,"WI",0.5,-0.031649411,0,1,237.17975,NA,NA,400.01746,9537.2363,6303.3022,1327.3544,822.46527,4642.2021,8705.4033,NA,NA,9006.9385,9615.3379,10058.826,10018.001,10034.832,10419.584,NA,NA,0,0,0,0,1,0,NA,NA,0,0,0,1,1,0
"7133",0.396243572235107,1999,5503210,"WI",0.5,-0.10375643,0,1,1327.3544,6303.3022,9537.2363,822.46527,4642.2021,10121.025,1231.7573,344.11203,409.01776,10018.001,10058.826,9615.3379,10034.832,10419.584,11301.795,12100.15,11837.537,11471.863,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"7134",0.562794804573059,2000,5503210,"WI",0.5,0.062794805,1,1,822.46527,1327.3544,6303.3022,4642.2021,10121.025,1231.7573,344.11203,409.01776,1332.3401,10034.832,10018.001,10058.826,10419.584,11301.795,12100.15,11837.537,11471.863,11591.824,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"7135",0.550170063972473,2005,5503210,"WI",0.5,0.050170064,1,1,409.01776,344.11203,1231.7573,1332.3401,6556.2988,956.2074,332.84146,314.32617,448.68198,11471.863,11837.537,12100.15,11591.824,11925.172,11973.625,12633.476,13024.734,12794.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7136",0.591796875,2015,5503210,"WI",0.5,0.091796875,1,1,901.61237,279.27121,171.86926,727.66992,573.72412,NA,NA,NA,NA,11158.13,11406.052,11871.534,11079.644,12076.93,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
"7139",0.546232879161835,2010,5503240,"WI",0.5,0.046232879,1,1,320.41635,101.5394,253.03918,2847.8601,3810.6909,279.38104,8363.8867,2807.1038,240.50565,15554.172,14958.023,13380.713,15560.843,14654.793,13639.575,15097.475,15527.049,16219.363,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"7140",0.590567350387573,2013,5503240,"WI",0.5,0.09056735,1,1,279.38104,3810.6909,2847.8601,8363.8867,2807.1038,240.50565,189.31453,NA,NA,13639.575,14654.793,15560.843,15097.475,15527.049,16219.363,15763.997,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
"7141",0.582589268684387,1994,5503270,"WI",0.5,0.082589269,1,1,1327.0094,NA,996.00604,1799.2899,1406.3094,612.8667,1204.3003,492.22372,563.2063,12066.719,NA,11672.129,11901.633,12417.932,12232.729,12298.785,12843.315,12910.573,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1
"7142",0.449248135089874,2000,5503270,"WI",0.5,-0.050751865,0,1,563.2063,492.22372,1204.3003,1318.397,654.27838,2078.981,20657.131,1691.1356,415.40939,12910.573,12843.315,12298.785,13945.924,14214.999,13834.438,15370.771,15782.694,15545.698,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"7143",0.474903464317322,2001,5503270,"WI",0.5,-0.025096536,0,1,1318.397,563.2063,492.22372,654.27838,2078.981,20657.131,1691.1356,415.40939,206.49666,13945.924,12910.573,12843.315,14214.999,13834.438,15370.771,15782.694,15545.698,14654.603,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"7144",0.576865673065186,2002,5503270,"WI",0.5,0.076865673,1,1,654.27838,1318.397,563.2063,2078.981,20657.131,1691.1356,415.40939,206.49666,178.50764,14214.999,13945.924,12910.573,13834.438,15370.771,15782.694,15545.698,14654.603,14483.461,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"7146",0.625644326210022,1994,5503510,"WI",0.5,0.12564433,1,1,317.64334,NA,2312.7485,1450.5424,1970.9656,843.27649,612.28333,542.82086,288.7081,11939.705,NA,11231.031,11513.258,11796.321,11909.169,12126.788,12564.77,12243.849,NA,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0
"7148",0.598406493663788,2001,5503510,"WI",0.5,0.098406494,1,1,342.42963,288.7081,542.82086,1843.0107,3931.8435,800.85608,290.4733,427.16672,374.33252,12557.785,12243.849,12564.77,13452.828,13631.16,13121.933,13509.409,13317.008,13329.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7149",0.531718790531158,2014,5503510,"WI",0.5,0.031718791,1,1,577.46051,425.19623,359.16275,6121.4365,6604.0615,1345.3773,NA,NA,NA,11845.559,12313.852,12530.583,12786.876,13210.269,13232.032,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA
"7150",0.569433033466339,1997,5503640,"WI",0.5,0.069433033,1,1,456.57516,361.53778,752.48761,3316.248,7007.5449,1001.7287,285.45847,484.63791,218.78418,9758.9756,9615.5781,9553.4434,10010.224,10159.551,10416.64,10620.671,10802.669,11043.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7151",0.392368614673615,2005,5503640,"WI",0.5,-0.10763139,0,1,60.52644,241.03796,218.78418,86.993423,519.28284,1286.3704,406.11502,539.32452,397.21356,11079.647,10807.179,11043.03,10976.739,11315.114,11061.646,12447.085,12905.65,13355.753,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"7152",0.621997952461243,2006,5503640,"WI",0.5,0.12199795,1,1,86.993423,60.52644,241.03796,519.28284,1286.3704,406.11502,539.32452,397.21356,366.73544,10976.739,11079.647,10807.179,11315.114,11061.646,12447.085,12905.65,13355.753,13187.754,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
